,image_id,text,word_idx
132,a01/a01-003/a01-003-04-01.png,the,132
133,a01/a01-003/a01-003-04-02.png,Government,133
134,a01/a01-003/a01-003-04-03.png,Bill,134
135,a01/a01-003/a01-003-04-04.png,which,135
136,a01/a01-003/a01-003-04-05.png,brought,136
137,a01/a01-003/a01-003-05-00.png,life,137
138,a01/a01-003/a01-003-05-01.png,peers,138
139,a01/a01-003/a01-003-05-02.png,into,139
140,a01/a01-003/a01-003-05-03.png,existence,140
141,a01/a01-003/a01-003-05-04.png,",",141
142,a01/a01-003/a01-003-05-05.png,they,142
143,a01/a01-003/a01-003-05-06.png,should,143
145,a01/a01-003/a01-003-06-00.png,now,145
146,a01/a01-003/a01-003-06-01.png,put,146
147,a01/a01-003/a01-003-06-02.png,forward,147
148,a01/a01-003/a01-003-06-03.png,nominees,148
149,a01/a01-003/a01-003-06-05.png,He,149
150,a01/a01-003/a01-003-06-06.png,believes,150
151,a01/a01-003/a01-003-07-00.png,that,151
152,a01/a01-003/a01-003-07-01.png,the,152
153,a01/a01-003/a01-003-07-02.png,House,153
154,a01/a01-003/a01-003-07-03.png,of,154
155,a01/a01-003/a01-003-07-04.png,Lords,155
156,a01/a01-003/a01-003-07-05.png,should,156
157,a01/a01-003/a01-003-07-06.png,be,157
158,a01/a01-003/a01-003-07-07.png,abolished,158
159,a01/a01-003/a01-003-08-00.png,and,159
160,a01/a01-003/a01-003-08-01.png,that,160
161,a01/a01-003/a01-003-08-02.png,Labour,161
162,a01/a01-003/a01-003-08-03.png,should,162
163,a01/a01-003/a01-003-08-04.png,not,163
164,a01/a01-003/a01-003-08-05.png,take,164
166,a01/a01-003/a01-003-08-07.png,steps,166
168,a01/a01-003/a01-003-09-01.png,would,168
169,a01/a01-003/a01-003-09-02.png,appear,169
170,a01/a01-003/a01-003-09-03.png,to,170
171,a01/a01-003/a01-003-09-04.png,"""",171
172,a01/a01-003/a01-003-09-05.png,prop,172
173,a01/a01-003/a01-003-09-06.png,up,173
174,a01/a01-003/a01-003-09-07.png,"""",174
175,a01/a01-003/a01-003-09-08.png,an,175
176,a01/a01-003/a01-003-09-09.png,out-dated,176
177,a01/a01-003/a01-003-10-00.png,institution,177
178,a01/a01-003u/a01-003u-00-00.png,Though,178
179,a01/a01-003u/a01-003u-00-01.png,they,179
181,a01/a01-003u/a01-003u-00-03.png,gather,181
182,a01/a01-003u/a01-003u-00-04.png,some,182
183,a01/a01-003u/a01-003u-00-05.png,Left-wing,183
184,a01/a01-003u/a01-003u-01-00.png,support,184
185,a01/a01-003u/a01-003u-01-01.png,",",185
187,a01/a01-003u/a01-003u-01-03.png,large,187
188,a01/a01-003u/a01-003u-01-04.png,majority,188
189,a01/a01-003u/a01-003u-01-05.png,of,189
190,a01/a01-003u/a01-003u-01-06.png,Labour,190
191,a01/a01-003u/a01-003u-02-00.png,Ps,191
192,a01/a01-003u/a01-003u-02-01.png,are,192
193,a01/a01-003u/a01-003u-02-02.png,likely,193
194,a01/a01-003u/a01-003u-02-03.png,to,194
195,a01/a01-003u/a01-003u-02-04.png,turn,195
197,a01/a01-003u/a01-003u-02-06.png,the,197
199,a01/a01-003u/a01-003u-03-00.png,Griffiths,199
201,a01/a01-003u/a01-003u-03-03.png,Mr.,201
202,a01/a01-003u/a01-003u-03-04.png,Foot's,202
203,a01/a01-003u/a01-003u-03-05.png,line,203
205,a01/a01-003u/a01-003u-04-00.png,be,205
206,a01/a01-003u/a01-003u-04-01.png,that,206
207,a01/a01-003u/a01-003u-04-02.png,as,207
208,a01/a01-003u/a01-003u-04-03.png,Labour,208
209,a01/a01-003u/a01-003u-04-04.png,Ps,209
211,a01/a01-003u/a01-003u-04-06.png,the,211
212,a01/a01-003u/a01-003u-05-00.png,Government,212
213,a01/a01-003u/a01-003u-05-01.png,Bill,213
214,a01/a01-003u/a01-003u-05-02.png,which,214
215,a01/a01-003u/a01-003u-05-03.png,brought,215
218,a01/a01-003u/a01-003u-06-00.png,into,218
220,a01/a01-003u/a01-003u-06-02.png,",",220
221,a01/a01-003u/a01-003u-06-03.png,they,221
222,a01/a01-003u/a01-003u-06-04.png,should,222
223,a01/a01-003u/a01-003u-06-05.png,not,223
224,a01/a01-003u/a01-003u-06-06.png,now,224
225,a01/a01-003u/a01-003u-06-07.png,put,225
226,a01/a01-003u/a01-003u-07-00.png,forward,226
227,a01/a01-003u/a01-003u-07-01.png,nominees,227
228,a01/a01-003u/a01-003u-07-03.png,He,228
229,a01/a01-003u/a01-003u-07-04.png,believes,229
230,a01/a01-003u/a01-003u-07-05.png,that,230
232,a01/a01-003u/a01-003u-08-00.png,House,232
234,a01/a01-003u/a01-003u-08-02.png,Lords,234
235,a01/a01-003u/a01-003u-08-03.png,should,235
236,a01/a01-003u/a01-003u-08-04.png,be,236
237,a01/a01-003u/a01-003u-08-05.png,abolished,237
238,a01/a01-003u/a01-003u-08-06.png,and,238
240,a01/a01-003u/a01-003u-09-01.png,Labour,240
243,a01/a01-003u/a01-003u-09-04.png,take,243
244,a01/a01-003u/a01-003u-09-05.png,any,244
245,a01/a01-003u/a01-003u-09-06.png,steps,245
246,a01/a01-003u/a01-003u-10-00.png,which,246
247,a01/a01-003u/a01-003u-10-01.png,would,247
249,a01/a01-003u/a01-003u-10-03.png,to,249
250,a01/a01-003u/a01-003u-10-04.png,"""",250
253,a01/a01-003u/a01-003u-10-07.png,"""",253
254,a01/a01-003u/a01-003u-10-08.png,an,254
255,a01/a01-003u/a01-003u-10-09.png,out-,255
256,a01/a01-003x/a01-003x-00-00.png,Though,256
257,a01/a01-003x/a01-003x-00-01.png,they,257
258,a01/a01-003x/a01-003x-00-02.png,may,258
259,a01/a01-003x/a01-003x-00-03.png,gather,259
260,a01/a01-003x/a01-003x-00-04.png,some,260
264,a01/a01-003x/a01-003x-00-08.png,a,264
265,a01/a01-003x/a01-003x-01-00.png,large,265
267,a01/a01-003x/a01-003x-01-02.png,of,267
269,a01/a01-003x/a01-003x-01-04.png,Ps,269
270,a01/a01-003x/a01-003x-01-05.png,are,270
271,a01/a01-003x/a01-003x-01-06.png,likely,271
272,a01/a01-003x/a01-003x-01-07.png,to,272
275,a01/a01-003x/a01-003x-02-01.png,the,275
276,a01/a01-003x/a01-003x-02-02.png,Foot-Griffiths,276
281,a01/a01-003x/a01-003x-03-00.png,will,281
282,a01/a01-003x/a01-003x-03-01.png,be,282
284,a01/a01-003x/a01-003x-03-03.png,as,284
285,a01/a01-003x/a01-003x-03-04.png,Labour,285
286,a01/a01-003x/a01-003x-03-05.png,Ps,286
287,a01/a01-003x/a01-003x-03-06.png,opposed,287
288,a01/a01-003x/a01-003x-03-07.png,the,288
290,a01/a01-003x/a01-003x-04-00.png,ment,290
291,a01/a01-003x/a01-003x-04-01.png,Bill,291
292,a01/a01-003x/a01-003x-04-02.png,which,292
293,a01/a01-003x/a01-003x-04-03.png,brought,293
294,a01/a01-003x/a01-003x-04-04.png,life,294
295,a01/a01-003x/a01-003x-04-05.png,peers,295
296,a01/a01-003x/a01-003x-04-06.png,into,296
297,a01/a01-003x/a01-003x-04-07.png,existence,297
298,a01/a01-003x/a01-003x-04-08.png,",",298
299,a01/a01-003x/a01-003x-04-09.png,they,299
300,a01/a01-003x/a01-003x-05-00.png,should,300
301,a01/a01-003x/a01-003x-05-01.png,not,301
302,a01/a01-003x/a01-003x-05-02.png,now,302
303,a01/a01-003x/a01-003x-05-03.png,put,303
305,a01/a01-003x/a01-003x-05-05.png,nominees,305
306,a01/a01-003x/a01-003x-05-07.png,He,306
307,a01/a01-003x/a01-003x-05-08.png,believes,307
309,a01/a01-003x/a01-003x-06-01.png,the,309
310,a01/a01-003x/a01-003x-06-02.png,House,310
315,a01/a01-003x/a01-003x-06-07.png,abolished,315
318,a01/a01-003x/a01-003x-07-01.png,Labour,318
319,a01/a01-003x/a01-003x-07-02.png,should,319
320,a01/a01-003x/a01-003x-07-03.png,not,320
321,a01/a01-003x/a01-003x-07-04.png,take,321
324,a01/a01-003x/a01-003x-07-07.png,which,324
325,a01/a01-003x/a01-003x-07-08.png,would,325
327,a01/a01-003x/a01-003x-08-01.png,to,327
328,a01/a01-003x/a01-003x-08-02.png,"""",328
329,a01/a01-003x/a01-003x-08-03.png,prop,329
331,a01/a01-003x/a01-003x-08-05.png,"""",331
332,a01/a01-003x/a01-003x-08-06.png,an,332
333,a01/a01-003x/a01-003x-08-07.png,out-dated,333
334,a01/a01-003x/a01-003x-08-08.png,institution,334
335,a01/a01-007/a01-007-00-00.png,Since,335
336,a01/a01-007/a01-007-00-01.png,1958,336
337,a01/a01-007/a01-007-00-02.png,",",337
338,a01/a01-007/a01-007-00-03.png,13,338
339,a01/a01-007/a01-007-00-04.png,Labour,339
340,a01/a01-007/a01-007-00-05.png,life,340
345,a01/a01-007/a01-007-01-02.png,been,345
346,a01/a01-007/a01-007-01-03.png,created,346
347,a01/a01-007/a01-007-01-05.png,Most,347
348,a01/a01-007/a01-007-01-06.png,Labour,348
349,a01/a01-007/a01-007-02-00.png,sentiment,349
350,a01/a01-007/a01-007-02-01.png,would,350
351,a01/a01-007/a01-007-02-02.png,#,351
352,a01/a01-007/a01-007-02-03.png,still,352
353,a01/a01-007/a01-007-02-04.png,favour,353
355,a01/a01-007/a01-007-02-06.png,abolition,355
356,a01/a01-007/a01-007-03-00.png,of,356
357,a01/a01-007/a01-007-03-01.png,the,357
358,a01/a01-007/a01-007-03-02.png,House,358
359,a01/a01-007/a01-007-03-03.png,of,359
360,a01/a01-007/a01-007-03-04.png,Lords,360
361,a01/a01-007/a01-007-03-05.png,",",361
362,a01/a01-007/a01-007-03-06.png,but,362
363,a01/a01-007/a01-007-03-07.png,while,363
364,a01/a01-007/a01-007-03-08.png,it,364
365,a01/a01-007/a01-007-03-09.png,remains,365
366,a01/a01-007/a01-007-04-00.png,Labour,366
367,a01/a01-007/a01-007-04-01.png,has,367
368,a01/a01-007/a01-007-04-02.png,to,368
370,a01/a01-007/a01-007-04-04.png,an,370
371,a01/a01-007/a01-007-04-05.png,adequate,371
372,a01/a01-007/a01-007-04-06.png,number,372
373,a01/a01-007/a01-007-04-07.png,of,373
375,a01/a01-007/a01-007-05-02.png,THE,375
379,a01/a01-007/a01-007-05-06.png,Nationalist,379
380,a01/a01-007/a01-007-06-00.png,Parties,380
381,a01/a01-007/a01-007-06-01.png,of,381
382,a01/a01-007/a01-007-06-02.png,Northern,382
383,a01/a01-007/a01-007-06-03.png,Rhodesia,383
384,a01/a01-007/a01-007-06-04.png,have,384
386,a01/a01-007/a01-007-06-06.png,to,386
387,a01/a01-007/a01-007-07-00.png,get,387
388,a01/a01-007/a01-007-07-01.png,together,388
389,a01/a01-007/a01-007-07-02.png,to,389
390,a01/a01-007/a01-007-07-03.png,face,390
391,a01/a01-007/a01-007-07-04.png,the,391
392,a01/a01-007/a01-007-07-05.png,challenge,392
393,a01/a01-007/a01-007-07-06.png,from,393
394,a01/a01-007/a01-007-07-07.png,Sir,394
395,a01/a01-007/a01-007-08-00.png,Roy,395
397,a01/a01-007/a01-007-08-02.png,",",397
398,a01/a01-007/a01-007-08-03.png,the,398
400,a01/a01-007/a01-007-08-05.png,Premier,400
401,a01/a01-007u/a01-007u-00-00.png,Since,401
402,a01/a01-007u/a01-007u-00-01.png,1958,402
404,a01/a01-007u/a01-007u-00-03.png,13,404
405,a01/a01-007u/a01-007u-00-04.png,Labour,405
406,a01/a01-007u/a01-007u-00-05.png,life,406
407,a01/a01-007u/a01-007u-00-06.png,Peers,407
408,a01/a01-007u/a01-007u-00-07.png,and,408
410,a01/a01-007u/a01-007u-01-01.png,have,410
411,a01/a01-007u/a01-007u-01-02.png,been,411
412,a01/a01-007u/a01-007u-01-03.png,created,412
413,a01/a01-007u/a01-007u-01-05.png,Most,413
414,a01/a01-007u/a01-007u-01-06.png,Labour,414
415,a01/a01-007u/a01-007u-02-00.png,sentiment,415
417,a01/a01-007u/a01-007u-02-02.png,still,417
420,a01/a01-007u/a01-007u-02-05.png,abolition,420
421,a01/a01-007u/a01-007u-03-00.png,of,421
422,a01/a01-007u/a01-007u-03-01.png,the,422
423,a01/a01-007u/a01-007u-03-02.png,House,423
424,a01/a01-007u/a01-007u-03-03.png,of,424
425,a01/a01-007u/a01-007u-03-04.png,Lords,425
426,a01/a01-007u/a01-007u-03-05.png,",",426
427,a01/a01-007u/a01-007u-03-06.png,but,427
431,a01/a01-007u/a01-007u-04-00.png,Labour,431
432,a01/a01-007u/a01-007u-04-01.png,has,432
433,a01/a01-007u/a01-007u-04-02.png,to,433
434,a01/a01-007u/a01-007u-04-03.png,have,434
435,a01/a01-007u/a01-007u-04-04.png,an,435
436,a01/a01-007u/a01-007u-04-05.png,adequate,436
439,a01/a01-007u/a01-007u-05-01.png,members,439
440,a01/a01-007u/a01-007u-05-03.png,THE,440
442,a01/a01-007u/a01-007u-05-05.png,rival,442
443,a01/a01-007u/a01-007u-05-06.png,African,443
445,a01/a01-007u/a01-007u-06-01.png,Parties,445
446,a01/a01-007u/a01-007u-06-02.png,of,446
448,a01/a01-007u/a01-007u-06-04.png,Rhodesia,448
449,a01/a01-007u/a01-007u-07-00.png,have,449
450,a01/a01-007u/a01-007u-07-01.png,agreed,450
451,a01/a01-007u/a01-007u-07-02.png,to,451
452,a01/a01-007u/a01-007u-07-03.png,get,452
453,a01/a01-007u/a01-007u-07-04.png,together,453
454,a01/a01-007u/a01-007u-07-05.png,to,454
455,a01/a01-007u/a01-007u-07-06.png,face,455
456,a01/a01-007u/a01-007u-08-00.png,the,456
458,a01/a01-007u/a01-007u-08-02.png,from,458
459,a01/a01-007u/a01-007u-08-03.png,Sir,459
460,a01/a01-007u/a01-007u-08-04.png,Roy,460
461,a01/a01-007u/a01-007u-08-05.png,Welensky,461
462,a01/a01-007u/a01-007u-08-06.png,",",462
463,a01/a01-007u/a01-007u-09-00.png,the,463
464,a01/a01-007u/a01-007u-09-01.png,Federal,464
466,a01/a01-007x/a01-007x-00-00.png,Since,466
467,a01/a01-007x/a01-007x-00-01.png,1958,467
468,a01/a01-007x/a01-007x-00-02.png,",",468
472,a01/a01-007x/a01-007x-00-06.png,Peers,472
473,a01/a01-007x/a01-007x-00-07.png,and,473
474,a01/a01-007x/a01-007x-00-08.png,#,474
477,a01/a01-007x/a01-007x-01-02.png,been,477
478,a01/a01-007x/a01-007x-01-03.png,created,478
481,a01/a01-007x/a01-007x-01-07.png,sentiment,481
483,a01/a01-007x/a01-007x-02-01.png,still,483
484,a01/a01-007x/a01-007x-02-02.png,favour,484
485,a01/a01-007x/a01-007x-02-03.png,the,485
486,a01/a01-007x/a01-007x-02-04.png,abolition,486
487,a01/a01-007x/a01-007x-02-05.png,of,487
488,a01/a01-007x/a01-007x-02-06.png,the,488
489,a01/a01-007x/a01-007x-02-07.png,House,489
490,a01/a01-007x/a01-007x-03-00.png,of,490
492,a01/a01-007x/a01-007x-03-02.png,",",492
493,a01/a01-007x/a01-007x-03-03.png,but,493
494,a01/a01-007x/a01-007x-03-04.png,while,494
495,a01/a01-007x/a01-007x-03-05.png,it,495
496,a01/a01-007x/a01-007x-03-06.png,remains,496
497,a01/a01-007x/a01-007x-03-07.png,Labour,497
500,a01/a01-007x/a01-007x-04-00.png,have,500
502,a01/a01-007x/a01-007x-04-02.png,adequate,502
503,a01/a01-007x/a01-007x-04-03.png,number,503
504,a01/a01-007x/a01-007x-04-04.png,of,504
506,a01/a01-007x/a01-007x-04-07.png,THE,506
507,a01/a01-007x/a01-007x-05-00.png,two,507
508,a01/a01-007x/a01-007x-05-01.png,rival,508
510,a01/a01-007x/a01-007x-05-03.png,Nationalist,510
511,a01/a01-007x/a01-007x-05-04.png,Parties,511
513,a01/a01-007x/a01-007x-05-06.png,Northern,513
514,a01/a01-007x/a01-007x-06-00.png,Rhodesia,514
515,a01/a01-007x/a01-007x-06-01.png,have,515
518,a01/a01-007x/a01-007x-06-04.png,get,518
519,a01/a01-007x/a01-007x-06-05.png,together,519
520,a01/a01-007x/a01-007x-06-06.png,to,520
521,a01/a01-007x/a01-007x-06-07.png,face,521
522,a01/a01-007x/a01-007x-06-08.png,the,522
524,a01/a01-007x/a01-007x-07-01.png,from,524
525,a01/a01-007x/a01-007x-07-02.png,Sir,525
526,a01/a01-007x/a01-007x-07-03.png,Roy,526
527,a01/a01-007x/a01-007x-07-04.png,Welensky,527
528,a01/a01-007x/a01-007x-07-05.png,",",528
529,a01/a01-007x/a01-007x-07-06.png,the,529
530,a01/a01-007x/a01-007x-07-07.png,Federal,530
531,a01/a01-007x/a01-007x-07-08.png,Premier,531
533,a01/a01-011/a01-011-00-01.png,from,533
534,a01/a01-011/a01-011-00-02.png,Mr.,534
535,a01/a01-011/a01-011-00-03.png,Kenneth,535
537,a01/a01-011/a01-011-00-05.png,United,537
539,a01/a01-011/a01-011-00-07.png,Independence,539
540,a01/a01-011/a01-011-01-00.png,Party,540
541,a01/a01-011/a01-011-01-01.png,(,541
542,a01/a01-011/a01-011-01-02.png,"280,000",542
543,a01/a01-011/a01-011-01-03.png,members,543
544,a01/a01-011/a01-011-01-04.png,),544
545,a01/a01-011/a01-011-01-05.png,and,545
546,a01/a01-011/a01-011-01-06.png,Mr.,546
547,a01/a01-011/a01-011-01-07.png,Harry,547
548,a01/a01-011/a01-011-01-08.png,Nkumbula's,548
549,a01/a01-011/a01-011-01-09.png,African,549
551,a01/a01-011/a01-011-02-01.png,Congress,551
552,a01/a01-011/a01-011-02-02.png,(,552
553,a01/a01-011/a01-011-02-03.png,"400,000",553
555,a01/a01-011/a01-011-02-05.png,will,555
556,a01/a01-011/a01-011-02-06.png,meet,556
557,a01/a01-011/a01-011-02-07.png,in,557
558,a01/a01-011/a01-011-02-08.png,London,558
559,a01/a01-011/a01-011-02-09.png,today,559
560,a01/a01-011/a01-011-03-00.png,to,560
561,a01/a01-011/a01-011-03-01.png,discuss,561
562,a01/a01-011/a01-011-03-02.png,a,562
563,a01/a01-011/a01-011-03-03.png,common,563
565,a01/a01-011/a01-011-03-05.png,of,565
567,a01/a01-011/a01-011-03-08.png,Sir,567
568,a01/a01-011/a01-011-03-09.png,Roy,568
569,a01/a01-011/a01-011-03-10.png,is,569
570,a01/a01-011/a01-011-04-00.png,violently,570
571,a01/a01-011/a01-011-04-01.png,opposed,571
572,a01/a01-011/a01-011-04-02.png,to,572
574,a01/a01-011/a01-011-04-04.png,getting,574
575,a01/a01-011/a01-011-04-05.png,an,575
576,a01/a01-011/a01-011-04-06.png,elected,576
577,a01/a01-011/a01-011-04-07.png,majority,577
579,a01/a01-011/a01-011-05-01.png,Northern,579
580,a01/a01-011/a01-011-05-02.png,Rhodesia,580
581,a01/a01-011/a01-011-05-03.png,",",581
582,a01/a01-011/a01-011-05-04.png,but,582
583,a01/a01-011/a01-011-05-05.png,the,583
586,a01/a01-011/a01-011-05-08.png,",",586
587,a01/a01-011/a01-011-06-00.png,Mr.,587
589,a01/a01-011/a01-011-06-02.png,Macleod,589
590,a01/a01-011/a01-011-06-03.png,",",590
591,a01/a01-011/a01-011-06-04.png,is,591
592,a01/a01-011/a01-011-06-05.png,insisting,592
594,a01/a01-011/a01-011-06-07.png,a,594
595,a01/a01-011/a01-011-06-08.png,policy,595
597,a01/a01-011/a01-011-06-10.png,change,597
598,a01/a01-011u/a01-011u-00-00.png,Delegates,598
599,a01/a01-011u/a01-011u-00-01.png,from,599
600,a01/a01-011u/a01-011u-00-02.png,Mr.,600
601,a01/a01-011u/a01-011u-00-03.png,Kenneth,601
602,a01/a01-011u/a01-011u-00-04.png,Kaunda's,602
603,a01/a01-011u/a01-011u-01-00.png,United,603
604,a01/a01-011u/a01-011u-01-01.png,National,604
605,a01/a01-011u/a01-011u-01-02.png,Independence,605
606,a01/a01-011u/a01-011u-01-03.png,Party,606
607,a01/a01-011u/a01-011u-02-00.png,(,607
610,a01/a01-011u/a01-011u-02-03.png,),610
611,a01/a01-011u/a01-011u-02-04.png,and,611
612,a01/a01-011u/a01-011u-02-05.png,Mr.,612
613,a01/a01-011u/a01-011u-02-06.png,Harry,613
614,a01/a01-011u/a01-011u-02-07.png,Nkumbula's,614
615,a01/a01-011u/a01-011u-03-00.png,African,615
616,a01/a01-011u/a01-011u-03-01.png,National,616
617,a01/a01-011u/a01-011u-03-02.png,Congress,617
619,a01/a01-011u/a01-011u-03-04.png,"400,000",619
620,a01/a01-011u/a01-011u-03-05.png,),620
622,a01/a01-011u/a01-011u-04-00.png,meet,622
623,a01/a01-011u/a01-011u-04-01.png,in,623
627,a01/a01-011u/a01-011u-04-05.png,discuss,627
629,a01/a01-011u/a01-011u-04-07.png,common,629
630,a01/a01-011u/a01-011u-05-00.png,course,630
632,a01/a01-011u/a01-011u-05-02.png,action,632
633,a01/a01-011u/a01-011u-05-04.png,Sir,633
634,a01/a01-011u/a01-011u-05-05.png,Roy,634
635,a01/a01-011u/a01-011u-05-06.png,is,635
636,a01/a01-011u/a01-011u-05-07.png,violently,636
637,a01/a01-011u/a01-011u-06-00.png,opposed,637
638,a01/a01-011u/a01-011u-06-01.png,to,638
639,a01/a01-011u/a01-011u-06-02.png,Africans,639
641,a01/a01-011u/a01-011u-06-04.png,an,641
642,a01/a01-011u/a01-011u-06-05.png,elected,642
643,a01/a01-011u/a01-011u-07-00.png,majority,643
644,a01/a01-011u/a01-011u-07-01.png,in,644
645,a01/a01-011u/a01-011u-07-02.png,Northern,645
650,a01/a01-011u/a01-011u-08-00.png,Colonial,650
652,a01/a01-011u/a01-011u-08-02.png,",",652
653,a01/a01-011u/a01-011u-08-03.png,Mr.,653
654,a01/a01-011u/a01-011u-08-04.png,Iain,654
656,a01/a01-011u/a01-011u-08-06.png,",",656
658,a01/a01-011u/a01-011u-09-01.png,insisting,658
659,a01/a01-011u/a01-011u-09-02.png,on,659
660,a01/a01-011u/a01-011u-09-03.png,a,660
661,a01/a01-011u/a01-011u-09-04.png,policy,661
